Mã học phần 	Tên học phần	Tín chỉ
KC123E	Vật lý chất rắn	2
KC123H	Các phương pháp phân tích hiện đại	3
KC124	Quá trình và thiết bị trong công nghệ vật liệu	3
KC125H	Seminar chuyên ngành	2
KC126H	Đồ án thiết kế và chế tạo sản phẩm	2
KC127E	Tin học trong kỹ thuật vật liệu	2
KC127H	Cơ sở thiết kế nhà máy hóa chất	2
KC128H	Dụng cụ đo	2
KC129	Anh văn chuyên môn - KTVL	2
KC129HE	Tin học trong công nghệ hóa học	2
KC130	Bê tông dự ứng lực	2
KC131	Toán ứng dụng - QLCN	3
KC131HET	Điều khiển quá trình	2
KC132E	Quản lý chuỗi cung ứng	3
KC132H	Hóa học và Hóa lý polymer	3
KC133E	Cấu trúc máy tính	3
KC134E	Quản lý Logistics	3
KC135E	Kỹ thuật dự báo trong công nghiệp	3
KC136T	Kiểm soát và quản lý chất lượng	3
KC137	Quản lý dự án công nghiệp	3
KC138	Tin học ứng dụng-Logistics	3
KC139	Anh văn chuyên môn-Logistics	3
KC140	Nhiệt động hóa học	3
KC141	Động học và điện hóa học	3
KC142	TT. Hóa lý kỹ thuật	2
KC143	Truyền vận	3
KC144	Kỹ thuật xúc tác	3
KC145	Tin học ứng dụng - QLCN	3
KC147	Vật liệu kim loại	3
KC147HE	Kỹ thuật sản xuất thủy tinh	3
KC148	Vật liệu composite - CNHH	3
KC149	Kỹ thuật sản xuất chất dẻo	3
KC150	Kỹ thuật chế biến cao su	3
KC151	Kỹ thuật gia công polymer	3
KC152	Công nghệ hóa hương liệu	3
KC153	Công nghệ hóa mỹ phẩm	3
KC154	Công nghệ các chất hoạt động bề mặt	3
KC155	Tổng hợp hữu cơ hóa dầu	3
KC155H	Kỹ thuật số	2
KC156E	Kỹ thuật sản xuất dược chất	3
KC156H	Toán kỹ thuật	2
KC157E	Kỹ thuật sản xuất bột cellulose và giấy	3
KC158E	Nhiên liệu sinh học	3
KC159	Hóa học chất rắn	3
KC160E	Công nghệ sản xuất các hợp chất vô cơ	3
KC161E	Kỹ thuật sản xuất vật liệu silicat	3
KC161H	Trường điện từ	2
KC162	Kỹ thuật sản xuất chất kết dính	3
KC162H	Vẽ kỹ thuật - kỹ thuật điện	3
KC163	Kỹ thuật sản xuất thủy tinh	3
KC164	Công nghệ điện hóa	3
KC165	Ăn mòn kim loại	3
KC165H	An toàn điện	2
KC166	Tính chất cơ của vật liệu	3
KC166H	Tham quan định hướng ngành nghề - KTĐ	2
KC167	Giản đồ pha	3
KC168H	Cơ lý thuyết - XD	3
KC169	TT. Vật liệu xây dựng - CTGT	2
KC169H	Sức bền vật liệu - XD	4
KC170	Kết cấu bê tông cốt thép - Phần cấu kiện cơ bản	2
KC170H	Hình họa và Vẽ kỹ thuật - XD	3
KC171H	Cơ học kết cấu	4
KC172	Kết cấu bê tông cốt thép - Phần cấu kiện đặc biệt	2
KC172H	Địa chất công trình	3
KC173	Vật liệu y sinh	3
KC173H	Trắc địa	3
KC174	Công nghệ vật liệu hữu cơ-kim loại	3
KC174H	Vật liệu xây dựng	3
KC175	Polymer sinh học và phân hủy sinh học	3
KC176	Kỹ thuật chân không và màng mỏng	3
KC176H	Cơ học lưu chất	2
KC177	Vật liệu huỳnh quang	3
KC178E	Vật liệu chịu lửa	3
KC179	Thí nghiệm công trình	2
KC179H	Phương pháp tính - Kỹ thuật	2
KC180	TT. Cơ học đất	2
KC180H	Kinh tế xây dựng	2
KC181T	Động lực học nâng cao	3
KC183ET	Mô hình hóa và mô phỏng hệ thống	3
KC184ET	Công nghệ vật liệu mới	3
KC184H	Kết cấu thép	2
KC185	Xây dựng dự án kỹ thuật phục vụ cộng đồng (EPICS)	3
KC185H	Đồ án kết cấu thép	2
KC186H	Máy xây dựng và Kỹ thuật thi công	3
KC187	Thực tập cấu tạo ô tô	2
KC187H	Tổ chức thi công và An toàn lao động	3
KC188H	Đồ án thi công	2
KC189	Vật liệu ceramic kỹ thuật	3
KC189H	Hóa phân tích	3
KC190E	Nhiên liệu sinh khối và vật liệu sinh khối	3
KC190H	Hóa lý: Nhiệt động hóa học	3
KC192	Tin học ứng dụng nâng cao - QLCN	3
KC192H	Kỹ thuật xúc tác	3
KC193H	Vật liệu composite - CNHH	3
KC194H	Kỹ thuật sản xuất chất dẻo	3
KC195H	Công nghệ hóa hương liệu	3
KC196	Thí nghiệm kết cấu công trình	1
KC196H	Công nghệ hóa mỹ phẩm	3
KC197	Thực tập ngành nghề	2
KC197HE	Công nghệ các chất hoạt động bề mặt	3
KC198	Thống kê ứng dụng	2
KC198E	Thống kê ứng dụng	2
KC198H	Tổng hợp hữu cơ hóa dầu	3
KC199	Hóa vô cơ và hữu cơ đại cương	3
KC199H	Nguyên lý quy hoạch	2
KC200H	Hóa lý: Động học và điện hóa học	3
KC201	Thực hành Hệ thống điện	2
KC204	Ngắn mạch và ổn định hệ thống điện	3
KC205	Truyền động điện	3
KC205H	Thực hành Hệ thống điện	2
KC206	Bảo vệ rơle và tự động hóa	2
KC206HE	Đồ án hệ thống điện	2
KC208E	Đồ án điện công nghiệp	2
KC209	Điện tử công suất	3
KC209H	Ngắn mạch và ổn định hệ thống điện	3
KC210H	Truyền động điện	3
KC211H	Bảo vệ rơle và tự động hóa	2
KC212H	PLC - Kỹ thuật điện	3
KC215HE	Đồ án điện công nghiệp	2
KC219HE	Báo cáo chuyên đề kỹ thuật điện	2
KC221	Kỹ thuật siêu cao tần	3
KC221HE	Thiết kế hệ thống điện	2
KC222	Truyền thông không dây	3
KC222HE	Nhà máy điện	2
KC223HE	Vận hành và điều khiển hệ thống điện	2
KC224H	Nguồn năng lượng tái tạo và quản lý	2
KC225E	Lập trình điều khiển trên thiết bị di động	2
KC226	Phân tích và thiết kế thuật toán	3
KC228	Vẽ kỹ thuật - kỹ thuật điện	3
KC231HT	Quy hoạch hệ thống điện	2
KC232	Kỹ thuật xử lý ảnh	3
KC232HT	Đánh giá độ tin cậy của hệ thống điện	2
KC233	Công nghệ chế tạo và sản xuất bán dẫn	3
KC234	Đường đô thị	3
KC238HE	Khoa học và kỹ thuật vật liệu đại cương	2
KC239H	Quá trình và thiết bị truyền khối - KTHH	3
KC240	Nền móng công trình	3
KC240HE	Kỹ thuật sản xuất bột cellulose - giấy	3
KC243	Tổ chức thi công và an toàn lao động	3
KC243E	Tổ chức thi công và an toàn lao động	3
KC244	Mố trụ cầu	2
KC244H	TT. Các phương pháp phân tích hiện đại	1
KC245H	Nền móng công trình	3
KC246	Công trình trên đất yếu	3
KC246H	Đồ án nền móng công trình	2
KC247	Kỹ thuật thi công công trình đặc biệt	2
KC247HT	Quản lý dự án xây dựng	3
KC248	Công trình xanh	2
KC248E	Công trình xanh	2
KC249	Công trình bảo vệ bờ	2
KC249HT	Công trình trên đất yếu	3
KC250E	Đánh giá tác động môi trường - XD	2
KC250H	Ứng dụng vật liệu địa kỹ thuật	3
KC251	Thi công công trình thủy lợi	3
KC252H	Quy hoạch đô thị	2
KC253H	Đánh giá tác động môi trường - XD	2
KC254H	Seminar/Internship	2
KC255H	Cấp thoát nước	2
KC256H	Thủy lực và Thủy văn	2
KC257H	Quy hoạch giao thông	2
KC259	Chuyên đề XD3 - Kết cấu thép	2
KC260	Chuyên đề XD4 - Thi công	2
KC260H	Kết cấu thép nhà công nghiệp	3
KC261	Chuyên đề XD5 - Quy hoạch, kiến trúc	2
KC262	Kỹ thuật bảo trì công nghiệp	2
KC263E	Lập trình hướng đối tượng	3
KC263H	Luật xây dựng	2
KC264H	Công trình giao thông	3
KC265H	Kỹ thuật sản xuất vật liệu silicate	3
KC266H	Công trình thủy	3
KC268	Đồ án Thiết kế cầu bê tông	2
KC268HE	Vật liệu gốm sứ kỹ thuật	3
KC269	Kinh tế xây dựng	2
KC270H	Kỹ thuật sản xuất chất kết dính	3
KC271	Đồ án Thiết kế cầu thép	2
KC271HE	Công nghệ điện hóa	3
KC272HE	Ăn mòn kim loại	3
KC273	Đồ án Mố trụ cầu	2
KC273H	Kỹ thuật xử lý nước thải	3
KC274	Đồ án Thiết kế đường ô tô	2
KC274HE	Nhiên liệu sinh học	3
KC275E	Chuyên đề nâng cao: Thiết kế đường ô tô	2
KC277E	Khai thác và kiểm định công trình cầu	2
KC278E	Khai thác và kiểm định công trình đường	2
KC286	Thiết kế đường ô tô	2
KC287	Thiết kế cầu thép	2
KC288	Thiết kế cầu bê tông	2
KC289	Khoa học và công nghệ vật liệu nano	3
KC289H	Khoa học và công nghệ vật liệu nano	3
KC290	Đồ án chuyên ngành - KTVL	2
KC291	Đồ án thiết kế - KTVL	2
KC292	Đồ án gia công - KTVL	2
KC295	Thực tập ngành nghề - KTVL	2
KC296	Các phương pháp phân tích vật liệu	3
KC297	TT. Các phương pháp phân tích vật liệu	2
KC309H	Điện tử công suất	3
KC312E	Chuyên đề Cầu giao thông	2
KC314E	Chuyên đề Giao thông thông minh	2
KC316E	Chuyên đề Kỹ thuật gia cố nền đường	2
KC317ET	Hệ thống thông tin quản lý - QLCN	3
KC320	Chuyên đề Quản lý dự án	2
KC321E	Chuyên đề quy hoạch giao thông	2
KC322E	Chuyên đề Vật liệu đường	2
KC324	Chuyên đề vật liệu xây dựng	2
KC325	Cơ sở thiết kế máy và thiết bị hóa chất	2
KC325H	Cơ sở thiết kế máy và thiết bị hóa chất	3
KC326E	Công nghệ IoT và ứng dụng	3
KC327	Đồ án nền móng công trình thủy	2
KC329	Xây dựng dự án kỹ thuật phục vụ cộng đồng (EPICS)	2
KC329E	Xây dựng dự án kỹ thuật phục vụ cộng đồng (EPICS)	2
KC329H	Điều khiển hệ thống khí nén	2
KC330	Giải tích hệ thống điện	3
KC330H	Giải tích hệ thống điện	3
KC331	Đồ án điện tử căn bản	2
KC331H	Đồ án điện tử căn bản	2
KC334	Kiểm toán và tiết kiệm năng lượng	2
KC334H	Kiểm toán và tiết kiệm năng lượng	2
KC336	Kỹ thuật điện công nghiệp	3
KC336H	Kỹ thuật điện công nghiệp	3
KC337T	Kỹ thuật điều khiển tự động	3
KC338E	Vận tải hàng hóa	3
KC341	Lập trình Matlab	2
KC341H	Lập trình Matlab	2
KC342	Lập trình PLC	3
KC343	Lập trình ứng dụng - CK	2
KC345E	Lý thuyết điều khiển hiện đại	2
KC345H	Lý thuyết điều khiển hiện đại	2
KC346	Mạch điện	4
KC346H	Mạch điện	4
KC351	Máy điện	4
KC351H	Máy điện	4
KC354E	Mô hình thông tin Xây dựng (BIM)	2
KC356	Nhiệt động lực học kỹ thuật	2
KC356H	Nhiệt động lực học kỹ thuật	2
KC359	Phát triển ứng dụng trên thiết bị di động	2
KC361	Quá trình và Thiết bị Truyền Nhiệt	3
KC362	Quản lý giao thông	2
KC363	Năng lượng tái tạo và quản lý	2
KC364T	Robot công nghiệp	3
KC366	Thiết kế nền đường	2
KC367	Thiết kế nhà máy điện và trạm biến áp	3
KC367H	Thiết kế nhà máy điện và trạm biến áp	3
KC368ET	Tích hợp năng lượng tái tạo vào lưới điện	3
KC369	Tổng luận công trình giao thông	2
KC370H	Truyền vận	3
KC372	TT. Linh kiện điện tử	1
KC373	Thực hành Máy điện	2
KC373H	Thực hành Máy điện	2
KC375	TT. Viễn thông 1	1
KC376	TT. Viễn thông 2	1
KC378E	Ứng dụng năng lượng gió và mặt trời	3
KC379E	Vẽ kỹ thuật	2
KC380	Ứng dụng vật liệu địa kỹ thuật	3
KC381	Vi điều khiển ứng dụng	2
KC383	Đồ án Điều khiển tự động	2
KC384	Thực hành Kỹ năng nghề điện	3
KC384H	Thực hành Kỹ năng nghề điện	3
KC385	Kết cấu bê tông cốt thép	2
KC387	Thực tập thực tế - KTCĐT	2
KC388	TT. Hóa vô cơ và hữu cơ đại cương	2
KC390	Kết cấu thép cầu	2
KC391E	Cấu tạo ô tô	3
KC392	Sản xuất tinh gọn	3
KC393	Nghiên cứu và phát triển sản phẩm	3
KC393T	Nghiên cứu và phát triển sản phẩm	3
KC394ET	Kỹ thuật ra quyết định	3
KC395	Tiểu luận tốt nghiệp - CKCTM	6
KC398	Tiểu luận tốt nghiệp - CNHH	6
KC398H	Tiểu luận tốt nghiệp - CNHH	6
KC399	Tiểu luận tốt nghiệp - CDT	6
KC400	Tiểu luận tốt nghiệp - KTXD	6
KC400H	Tiểu luận tốt nghiệp - KTXD	6
KC401E	Tiểu luận tốt nghiệp - KTD	6
KC401HE	Tiểu luận tốt nghiệp - KTD	6
KC402	Tiểu luận tốt nghiệp - CTGT	6
KC403	Tiểu luận tốt nghiệp - XDCTT	6
KC404	Tiểu luận tốt nghiệp - DTVT	6
KC405	Tiểu luận tốt nghiệp - KTDK	6
KC405H	Tiểu luận tốt nghiệp - KTDK	6
KC406	Tiểu luận tốt nghiệp - KTMT	6
KC407	Tiểu luận tốt nghiệp - QLCN	6
KC408	Tiểu luận tốt nghiệp - KTVL	6
KC410	Thực tập Hệ thống điện, điện tử và điều khiển tự động trên ô tô	2
KC413	Thiết kế và vận hành nhà kho	3
KC414E	Quản lý thu mua	3
KC415	Quản lý hệ thống phân phối	3
KC416	Marketing Logistics	3
KC417	Hệ thống thông tin Logistics	3
KC418E	Mô hình ra quyết định trong chuỗi cung ứng	3
KC419	Mô hình hóa và mô phỏng - Logistics	3
KC420	Đồ án Logistics 1 (Thiết kế hệ thống Logistics)	2
KC421	Đồ án Logistics 2 (Phân tích tính khả thi hệ thống Logistics)	2
KC422	Đồ án mô hình hóa và mô phỏng - Logistics	2
KC423	Thực tập ngành nghề- Logistics	2
KC424	Khai thác dữ liệu trong chuỗi cung ứng	3
KC425	Thiết kế vị trí và mặt bằng hệ thống công nghiệp	3
KC426	Quản lý kỹ thuật và công nghệ	3
KC427	Lập kế hoạch và Vận hành cảng	3
KC428	Quy hoạch công nghiệp	3
KC429E	Logistics quốc tế	3
KC430E	Quản lý logistics ngược và tính bền vững	3
KC431	Luận văn tốt nghiệp- Logistics	10
KC432	Tiểu luận tốt nghiệp- Logistics	4
KC433	Chuyên đề XD1 - Nền móng	3
KC434	Chuyên đề XD2 - Kết cấu bê tông cốt thép	3
KC435ET	Mô hình nước ngầm	3
KC436T	Kỹ thuật thi công công trình thủy nâng cao	3
KC437	Quang học và âm học kiến trúc	3
KC438	Đồ án nhà ở riêng lẻ	2
KC439	Đồ án công trình hành chính	2
KC440	Đồ án công trình giáo dục	2
KC441	Đồ án công trình văn hóa	2
KC442	Đồ án công trình thương mại	2
KC443	Đồ án chung cư	2
KC444	Đồ án công trình y tế	2
KC445	Đồ án công trình công nghiệp	2
KC447	Đồ án quy hoạch đơn vị ở	2
KC451	Đồ án thiết kế nhanh nâng cao	2
KC453	Chuyên đề công trình y tế - nghỉ dưỡng	2
KC454	Chuyên đề công trình văn hóa - giáo dục	2
KC455	Chuyên đề công trình thương mại - dịch vụ	2
KC456	Kiến trúc, môi trường và con người	2
KC457	Kiến trúc cảnh quan	2
KC458	Hạ tầng kỹ thuật đô thị	2
KC459E	Nhà cao tầng	2
KC460E	Tư vấn đầu tư xây dựng	2
KC461	Cơ học đất và nền móng	2
KC462	Thực tập ngành nghề Kiến trúc	2
KC463E	Kỹ thuật hệ thống viễn thông	3
KC464E	Thiết kế vi mạch số	3
KC465	Thiết kế vi mạch tương tự	3
KC466	Thiết kế hệ thống trên SoC	2
KC467	Thiết kế hệ thống nhúng trên FPGA	3
KC468	Máy học và ứng dụng	3
KC469	Kiểm tra thiết kế số	2
KC470	Đồ án kỹ thuật vi mạch	2
KC471E	Chuyên đề vi mạch bán dẫn	2
KC472	Thực tập ngành nghề	2
KC473	Thiết kế và phát triển ứng dụng IoT	3
KC474	Tham quan thực tế	1
KC474H	Kết cấu bê tông cốt thép - Phần cấu kiện cơ bản	3
KC475	Kỹ thuật điện - điện tử	2
KC476	Cảm biến và thiết bị đo ô tô	2
KC477	Anh văn chuyên ngành kỹ thuật ô tô	2
KC478E	Động cơ đốt trong	2
KC479	Thực tập động cơ đốt trong	2
KC480E	Kỹ thuật sửa chữa động cơ	2
KC481	Hệ thống điện và điện tử ô tô	3
KC482	Điều khiển tự động trên ô tô	2
KC484	Quản lý dịch vụ ô tô	2
KC485	Máy điện và truyền động điện ô tô	2
KC486	Thực tập ngành nghề - ô tô	2
KC487	Thực tập doanh nghiệp - ô tô	2
KC488E	Công nghệ pin và chuyển đổi năng lượng	2
KC490	Tiểu luận tốt nghiệp - ô tô	6
KC491	Toán cơ sở cho hệ thống điều khiển	2
KC492	Lý thuyết tín hiệu	3
KC493	Kỹ thuật khai thác và bảo dưỡng ô tô	2
KC494	Công nghệ sản xuất và lắp ráp ô tô	2
KC495	Động lực học ô tô	3
KC496E	Quản trị thiết bị y tế	2
KC497	Hệ thống thông tin y tế	2
KC498E	Tin sinh học và quản lý dữ liệu	2
KC499E	Robot trong y học	3
KC500	Tiểu luận tốt nghiệp - KTYS	6
KC501	Luận văn tốt nghiệp - KTD	15
KC501H	Luận văn tốt nghiệp - KTD	15
KC515	Luận văn tốt nghiệp - CKCTM	15
KC516	Luận văn tốt nghiệp - CKOT	15
KC518	Luận văn tốt nghiệp - CNHH	15
KC518H	Luận văn tốt nghiệp - CNHH	15
KC519	Luận văn tốt nghiệp - CDT	15
KC520	Luận văn tốt nghiệp - KTXD	15
KC520H	Luận văn tốt nghiệp - KTXD	15
KC521	Luận văn tốt nghiệp - CTGT	15
KC522	Luận văn tốt nghiệp - XDCTT	15
KC523	Luận văn tốt nghiệp - DTVT	15
KC524	Luận văn tốt nghiệp - KTDK	15
KC524H	Luận văn tốt nghiệp - KTDK	15
KC525	Luận văn tốt nghiệp - KTMT	15
KC526	Luận văn tốt nghiệp - QLCN	15
KC527	Luận văn tốt nghiệp - KTVL	15
KC528	Luận văn tốt nghiệp Kiến trúc	15
KC529E	Đồ án Điện tử công suất	2
KC529HE	Đồ án Điện tử công suất	2
KC530	Luận văn tốt nghiệp - KTYS	15
KC531T	Ăn mòn và chống ăn mòn BTCT	3
KC532	Báo cáo chuyên đề	3
KC533	Báo cáo chuyên đề công trình giao thông	2
KC534HT	Bảo vệ rơle nâng cao	3
KC534T	Bảo vệ rơle nâng cao	3
KC535	Cấu trúc dữ liệu - Điện tử	3
KC537	Chuyên đề 1 - Thủy lực	3
KC538	Chuyên đề 2 - Nền móng	3
KC539	Chuyên đề 3 - Bê tông	3
KC540	Chuyên đề 4 - Thi công	3
KC541	Chuyên đề 5 - Quản lý	3
KC542	Chuyên đề công trình cao tầng	2
KC543	Chuyên đề kết cấu bê tông cốt thép	2
KC544T	Chuyên đề khảo sát thủy lực, thủy văn	2
KC545T	Chuyên đề mô hình toán thủy lực	2
KC546	Chuyên đề nền móng	2
KC547	Chuyên đề quản lý dự án công trình giao thông	2
KC548	Chuyên đề quy hoạch, kiến trúc	2
KC549	Chuyên đề Thi công - CTGT	2
KC550T	Cơ học biến dạng	3
KC551	Cơ học đất	3
KC552	Công nghệ 4.0	3
KC552T	Công nghệ 4.0	3
KC553T	Công nghệ bê tông đặc biệt	3
KC554	Công nghệ chế tạo máy	3
KC555HT	Công nghệ chế tạo vi mạch	3
KC555T	Công nghệ chế tạo vi mạch	3
KC556	Công nghệ sản xuất vật liệu bán dẫn	3
KC556HT	Công nghệ sản xuất vật liệu bán dẫn	3
KC556T	Công nghệ sản xuất vật liệu bán dẫn	3
KC557HT	Công nghệ sản xuất vật liệu nano trong thiết bị điện tử	3
KC557T	Công nghệ sản xuất vật liệu nano trong thiết bị điện tử	3
KC558	Công nghệ sau thu hoạch	3
KC559	Công nghệ thị giác máy và ứng dụng	2
KC560HT	Công nghệ vật liệu quang điện tử và bán dẫn	3
KC560T	Công nghệ vật liệu quang điện tử và bán dẫn	3
KC561	Cung cấp điện	3
KC561H	Cung cấp điện	3
KC562	Điện tử công suất cơ bản	3
KC563HT	Điện tử công suất nâng cao	3
KC563T	Điện tử công suất nâng cao	3
KC564	Điện tử công suất ứng dụng cho năng lượng tái tạo	2
KC564T	Điện tử công suất ứng dụng cho năng lượng tái tạo	2
KC565	Đồ án công trình khán phòng	2
KC566	Đồ án công trình thể thao	2
KC567	Đồ án tổng hợp	2
KC568	Đồ án kết cấu bê tông cốt thép	2
KC569E	Đồ án kiến trúc nội - ngoại thất	2
KC570	Đồ án nền móng công trình - CTGT	2
KC571E	Đồ án thiết kế máy điện	2
KC571HE	Đồ án thiết kế máy điện	2
KC572	Đồ án kỹ thuật viễn thông	2
KC573	Đo lường và Điều khiển bằng máy tính	2
KC574	TT. Đo lường và Điều khiển bằng máy tính	1
KC575	Dự toán xây dựng	2
KC575H	Dự toán xây dựng	2
KC576	Dự toán xây dựng công trình	2
KC577T	Giải pháp ổn định nền đất yếu	3
KC578HT	Giải tích hệ thống điện nâng cao	3
KC578T	Giải tích hệ thống điện nâng cao	3
KC579HT	Giải tích máy điện nâng cao	3
KC579T	Giải tích máy điện nâng cao	3
KC580	Hệ thống quản lý tòa nhà (BMS)	3
KC580H	Hệ thống quản lý tòa nhà (BMS)	3
KC581	Hệ thống kỹ thuật và trang thiết bị công trình	2
KC582	Hệ thống điện và điện tử trên ô tô	2
KC583	Học sâu và ứng dụng	3
KC584	Kết cấu bê tông cốt thép - Phần công trình dân dụng	3
KC584H	Kết cấu bê tông cốt thép - Phần công trình dân dụng	3
KC585	Mô hình thông tin xây dựng (BIM)	3
KC585HT	Mô hình thông tin xây dựng (BIM)	3
KC585T	Mô hình thông tin xây dựng (BIM)	3
KC586	Mạng nơ-ron và học sâu	3
KC587	TT. Ngành nghề kỹ thuật điện	5
KC587H	Thực tập Ngành nghề kỹ thuật điện	5
KC588	Kết cấu bê tông cốt thép nâng cao	3
KC589HT	Kiểm định chất lượng công trình xây dựng	3
KC589T	Kiểm định chất lượng công trình xây dựng	3
KC590HT	Kỹ thuật cao áp nâng cao	3
KC590T	Kỹ thuật cao áp nâng cao	3
KC591	Nguyên lý và cấu tạo kiến trúc	3
KC591H	Nguyên lý và Cấu tạo kiến trúc	3
KC592	Nền móng công trình - CTGT	2
KC593	Quản lý dự án xây dựng - CTGT	3
KC594T	Phương pháp số trong kỹ thuật	3
KC595	Seminar 2 - Logistics	2
KC596	Seminar 2 - Quản lý công nghiệp	2
KC597	Thực tập sửa chữa động cơ 1	3
KC598	Thực tập sửa chữa động cơ 2	2
KC599T	Kỹ thuật định vị toàn cầu	2
KL001E	Pháp luật đại cương	2
KL051	Quyền con người	2
KL100	Pháp luật và đạo đức báo chí truyền thông	2
KL101	Lý luận nhà nước và pháp luật 1	2
KL102	Lý luận nhà nước và pháp luật 2	2
KL105	Luật so sánh	2
KL108E	Luật dân sự La Mã	2
KL113E	Lịch sử nhà nước và pháp luật	2
KL114	Soạn thảo văn bản pháp luật	2
KL115	Phương pháp nghiên cứu khoa học - Luật	2
KL116	Thuật ngữ pháp lý - Tiếng Anh	2
KL117	Thuật ngữ pháp lý - Tiếng Pháp	2
KL118	Luật hình sự phần chung	2
KL119	Luật hình sự phần riêng	2
KL122	Luật hôn nhân và gia đình	2
KL123	Luật lao động	3
KL124	Luật tài chính nhà nước	3
KL126	Luật Hiến pháp	3
KL127	Luật hành chính	3
KL127E	Luật hành chính	3
KL130	Luật dân sự: lý luận chung về luật dân sự	2
KL131	Pháp luật thương mại 1	2
KL132	Pháp luật thương mại 2	2
KL133	Luật dân sự: Nghĩa vụ dân sự	2
KL134	Luật dân sự	2
KL135	Luật hình sự	2
KL136	Luật bảo vệ chăm sóc, giáo dục trẻ em	2
KL137	Pháp luật về hợp đồng thông dụng	2
KL138E	Pháp luật về trách nhiệm dân sự	2
KL139E	Pháp luật về bất động sản	2
KL140E	Pháp luật về bảo đảm thực hiện nghĩa vụ	2
KL141	Pháp luật về thi hành án dân sự	2
KL142	Kỹ năng giải quyết vụ việc dân sự	2
KL143	Luật Dân sự các nước	2
KL198	Đạo đức nghề luật	2
KL199	Kỹ thuật soạn thảo văn bản	2
KL203	Luật hình sự: Định tội và định khung hình phạt	3
KL204	Luật dân sự: Nghĩa vụ dân sự và hợp đồng dân sự	3
KL206	Trình tự, thủ tục giải quyết vụ việc dân sự	3
KL207	Pháp luật về quan hệ hôn nhân và quan hệ gia đình	3
KL210	Pháp luật về quy hoạch và giải phóng mặt bằng	2
KL211E	Luật hiến pháp nước ngoài	2
KL212E	Luật hành chính các nước	2
KL213	Luật môi trường	3
KL214	Pháp luật về thương nhân	3
KL215	Luật thương mại	3
KL217E	Luật thương mại quốc tế công	2
KL218	Luật lao động 2	2
KL219	Luật thuế	3
KL221	Kỹ thuật soạn thảo hợp đồng thương mại	2
KL222	Luật hình sự: Những vấn đề lý luận về tội phạm	2
KL223	Luật hình sự: Những vấn đề lý luận về hình phạt	2
KL224	Luật dân sự: Tài sản, quyền sở hữu và quyền thừa kế	3
KL226	Những vấn đề lý luận chung về luật tố tụng dân sự	2
KL227	Pháp luật tố tụng dân sự	3
KL228E	Luật ngân sách nhà nước	2
KL229E	Luật hiến pháp chuyên sâu	2
KL230	Luật tố tụng thương mại và phá sản	3
KL231	Luật dân sự: Chủ thể, tài sản, quyền sở hữu và quyền thừa kế	2
KL232	Luật thương mại quốc tế tư	3
KL233E	Học thuyết pháp lý	2
KL234E	Pháp luật về kinh doanh dịch vụ Logistics	2
KL235	Pháp luật về cạnh tranh và bảo vệ quyền lợi người tiêu dùng	3
KL236E	Pháp luật về khiếu nại và khiếu kiện	2
KL237	Luật Tố tụng hình sự	3
KL238	Thực hành Luật Tố tụng hình sự	2
KL301	Luật hiến pháp 1	2
KL302	Luật hiến pháp 2	2
KL303	Luật hành chính 1	2
KL304	Luật hành chính 2	2
KL322	Luật lao động 1	2
KL327	Luật đất đai	3
KL328	Luật môi trường	2
KL331	Tư pháp quốc tế 1	2
KL332	Tư pháp quốc tế 2	2
KL333	Luật thương mại quốc tế	2
KL335	Pháp luật về sở hữu trí tuệ	2
KL344	Bảo đảm nghĩa vụ	2
KL344E	Bảo đảm nghĩa vụ	2
KL353	Pháp luật về khiếu nại và khiếu kiện hành chính	2
KL365	Pháp luật về thanh tra	2
KL369	Luật kinh tế	2
KL370	Luận văn tốt nghiệp - Luật	10
KL371	Luật tố tụng hình sự	2
KL374	Luật tố tụng dân sự	2
KL375	Công pháp quốc tế	3
KL376	Tư pháp quốc tế	3
KL377	Pháp luật về xây dựng	2
KL378	Luật hành chính 3	2
KL380E	Luật an sinh xã hội	2
KL382E	Tổ chức công sở và nhân sự hành chính	2
KL383	Quản lý nhà nước về hộ tịch	2
KL384	Luật về kinh doanh bất động sản	2
KL385	Thủ tục hành chính về nhà đất	2
KL386	Pháp luật về nhà ở	2
KL388E	Luật ngân hàng	2
KL391E	Pháp luật về chứng khoán và thị trường chứng khoán	2
KL392E	Pháp luật về hoạt động xuất nhập khẩu	2
KL393	Pháp luật về đầu tư	2
KL395E	Luật thuế quốc tế	2
KL396	Pháp luật về thương mại điện tử	2
KL397	Nghiệp vụ tòa án	2
KL401	Tội phạm học	2
KL404	Luật hợp đồng thông dụng	2
KL406	Thực hành nghề Luật	2
KL411	Tiểu luận tốt nghiệp - Luật	4
KL412	Chuyên đề luật hình sự và tố tụng hình sự	2
KL413E	Chuyên đề luật dân sự và tố tụng dân sự	2
KL414E	Chuyên đề luật thương mại và tố tụng thương mại	2
KL415E	Chuyên đề luật hành chính và tố tụng hành chính	2
KL416E	Chuyên đề luật sở hữu trí tuệ và chuyển giao công nghệ	2
KL417E	Pháp luật về bảo vệ quyền lợi người tiêu dùng	2
KL418E	Quản lý nhà nước về đô thị và nông thôn	2
KL419	Kỹ thuật soạn thảo văn bản hành chính	2
KL420E	Pháp luật về giá đất	2
KL421E	Các hoạt động hành chính tư pháp	2
KL422E	Xử phạt vi phạm hành chính trong một số lĩnh vực	2
KL423E	Pháp luật về thanh tra đất đai	2
